tag,description,potential_paste_1,code_1,potential_paste_2,code_2,potential_paste_3,code_3,notes
kolskeggr_mine_quest,,"Local Events Update: {player_name} (the player) has cleared out the Forsworn occupation of Kolskeggr Mine, allowing Pavo and Gat to return there and resume mining the gold there.",,,,,,
kolskeggr_mine,,custom,,,,,,
the_only_cure_quest,,,,,,,,
karthwasten,,custom,,,,,,
sanuarach_mine_quest,,,,,,,,
ainethach_status,,Events Update: Ainethach has died.,,,,,,
ragnar_status,,Events Update: Ragnar has died.,,,,,,
lash_gra-dushnikh_status,,Events Update: Lash gra-Dushnikh has died.,,,,,,
belchimac_status,,Events Update: Belchimac has died.,,,,,,
enmon_status,,Events Update: Enmon has died.,,,,,,
mena_status,,Events Update: Mena has died.,,,,,,
old_hroldan_inn,,custom,,,,,,
eydis_status,,Events Update: Eydis has died.,,,,,,
leontius_salvius_status,,Events Update: Leontius Salvius has died.,,,,,,
soljund's_sinkhole,,custom,,,,,,
soljund's_sinkhole_quest,,Events Update: The draugr that had been infesting Soljund's Sinkhole have been cleared out (by {player_name}).,,,,,,
perth_status,,Events Update: Perth has died.,,,,,,
tuthul_status,,Events Update: Tuthul has died.,,,,,,
druadach_redoubt,,custom,,,,,,
dushnikh_yal ,,custom,,,,,,
chief_burguk_status,,Events Update: Chief Burguk has died.,,,,,,
shel_status,,Events Update: Shel has died.,,,,,,
arob_status,,Events Update: Arob has died.,,,,,,
gharol_status,,Events Update: Gharol has died.,,,,,,
ghorbash_the_iron_hand_status,,Events Update: Ghorbash the Iron Hand has died.,,,,,,
nagrub_status,,Events Update: Nagrub has died.,,,,,,
ghak_status,,Events Update: Ghak has died.,,,,,,
mahk_status,,Events Update: Makh has died.,,,,,,
oglub_status,,Events Update: Oglub has died.,,,,,,
umurn_status,,Events Update: Umurn has died.,,,,,,
mor_khazgur,,custom,,,,,,
chief_larak_status,,Events Update: Chief Larak has died.,,,,,,
bagrak_status,,Events Update: Bagrak has died.,,,,,,
shuftharz_status,,Events Update: Shuftharz has died.,,,,,,
sharamph_status,,Events Update: Sharamph has died.,,,,,,
borgakh_the_steel_heart_status,,Events Update: Borgakh the Steel Heart has died.,,,,,,
olur_status,,Events Update: Olur has died.,,,,,,
ghamorz_status,,Events Update: Ghamorz has died.,,,,,,
gul_status,,Events Update: Gul has died.,,,,,,
,,,,,,,,
haafingar,,custom,,,,,,
haafingar_civil_war,,Events Update: The Stormcloak Rebellion has successfully attacked Solitude and taken control of the city.,,,,,,
dragon_bridge,,custom,,,,,,
penitus_oculatus,,custom,,,,,,
commander_maro_status,,Events Update: Commander Maro has been killed.,,,,,,
gaius_maro_status,,Events Update: Gaius Maro has been killed.,,,,,,
dragon's_breath_mead_quest,,,,,,,,
horgeir_status,,Events Update: Horgeir has died.,,,,,,
olda_status,,Events Update: Olda has died.,,,,,,
lodvar_status,,Events Update: Lodvar has died.,,,,,,
four_shields_tavern,,custom,,,,,,
faida_status,,Events Update: Faida has died.,,,,,,
varnius_junius_status,,Events Update: Varnius Junius has died.,,,,,,
julienne_lylvieve_status,,Events Update: Julienne Lylvieve has died.,,,,,,
azzada_lylvieve_status,,Events Update: Azzada Lylvieve has died.,,,,,,
michel_lylvieve_status,,Events Update: Michel Lylvieve has died.,,,,,,
lucky_status,,Events Update: Lucky the goat has died.,,,,,,
hjorunn_status,,Events Update: Hjorunn has died.,,,,,,
kharag_gro-shurkul_status,,Events Update: Kharag gro-Shurkul has died.,,,,,,
katla's_farm,,custom,,,,,,
katla_status,,Events Update: Katla has died.,,,,,,
snilling_status,,Events Update: Snilling has died.,,,,,,
solitude_stables,,custom,,,,,,
geimund_status,,Events Update: Geimund has died.,,,,,,
fridrika_status,,Events Update: Fridrika has died.,,,,,,
horm_status,,Events Update: Horm has died.,,,,,,
solitude,,custom,,,,,,
winking_skeever,,custom,,,,,,
corpulus_vinius_status,,Events Update: Corpulus Vinius has died.,,,,,,
sorex_vinius_status,,Events Update: Sorex Vinius has died.,,,,,,
lisette_status,,Events Update: Lisette has died.,,,,,,
gulum-ei_status,,Events Update: Gulum-Ei has died.,,,,,,
scoundrel's_folly_quest,,,,,,,,
angeline_morrard_status,,Events Update: Angeline Morrard has died.,,,,,,
vivienne_onis_status,,Events Update: Vivienne Onis has died.,,,,,,
radiant_raiment,,custom,,,,,,
taarie_status,,Events Update: Tarrie has died.,,,,,,
endarie_status,,Events Update: Endarie has died.,,,,,,
noster_eagle-eye_quest,,Events Update: Noster Eagle-Eye has died.,,,,,,
lights_out_quest,,,,,,,,
jaree-ra_status,,Events Update: Jaree-Ra has died.,,,,,,
deeja_status,,Events Update: Deeja has died.,,,,,,
beirand_status,,Events Update: Beirand has died.,,,,,,
heimvar_status,,Events Update: Heimvar has died.,,,,,,
sayma_status,,Events Update: Sayma has died.,,,,,,
fihada_status,,Events Update: Fihada has died.,,,,,,
jawanan_status,,Events Update: Jawanan has died.,,,,,,
castle_dour,,custom,,,,,,
captain_aldis_status,,Events Update: Captain Aldis has died.,,,,,,
no_news_is_good_news_quest,,,,,,,,
vittoria_and_asgeir_wedding,,"Events Update: Vittoria Vici was assassinated during her wedding reception in the Castle Dour courtyard, immediately after marrying Asgeir Snow-Shod.",,"Events Update: Vittoria Vici and Asgeir Snow-Shod were both assassinated during their wedding reception in the Castle Dour courtyard, immediately after marrying each other.",,Events Update: Vittoria Vici and Asgeir Snow-Shod had their wedding at the Temple of the Divines within Castle Dour; the public reception was held in the castle's courtyard. The day was a success.,,
vittoria_vici_status,,Events Update: Vittoria Vici has reportedly been assassinated.,,,,,,"For people who might only know that she died, and not details. Like Fethis Alor in Raven Rock."
asgeir_snow-shod_status,,Events Update: Asgeir Snow-Shod has been murdered.,,,,,,
temple_of_the_divines,,custom,,,,,,
rorlund_status,,Events Update: Rorlund has died.,,,,,,
freir_status,,Events Update: Freir has died.,,,,,,
silana_petreia_status,,Events Update: Silana Petreia has died.,,,,,,
jala_status,,Events Update: Jala has died.,,,,,,
ahtar_status,,Events Update: Ahtar has died.,,,,,,
ahtar_quest,,,,,,,,
return_to_grace_quest,,"Events Update: {player_name} has provided Greta with the amulet of Talos that belonged to her brother Roggvir, giving Greta some closure and prompting her to start visiting the local temple again.",,,,,,
greta_status,,Events Update: Greta has died.,,,,,,
addvar_status,,Events Update: Addvar has died.,,,,,,
the_spiced_wine_quest,,Events Update: {player_name} has convinced Vittoria Vici to forego the tariff on Evette's imported spices.,,,,,,
evette_san_status,,Events Update: Evette San has died.,,,,,,
octieve_san_status,,Events Update: Octieve San has died.,,,,,,
octieve_san_quest,,,,,,,,
proudspire-manor,,custom,,,,,,
bards_college,,custom,,,,,,
tending_the_flames_quest,,"Locals Events Update: {player_name} is now a member of the Bards College, following {player_name}'s efforts in recovering the King Olaf's long verse and joining Viarmo in convincing Jarl Elisif to reinstate the Burning of King Olaf (this festival is now a weekly event, occuring every Loredas).",,,,,,For bards and those who (should) know that you were responsible
tending_the_flames_quest_partial_awareness,,"Local Events Update: The Burning of King Olaf festival has been reinstated by Jarl Elisif, and is now a weekly event (every Loredas).",,,,,,For those who shouldn't know that you were responsible
inge_six-fingers_status,,Events Update: Inge Six-Fingers has died.,,,,,,
giraud_gemane_status,,Events Update: Giraud Gemane has died.,,,,,,
pantea_ateia_status,,Events Update: Pantea Ateia has died.,,,,,,
pantea's_flute_quest,,,,,,,,
aia_arria_status,,Events Update: Aia Arria has died.,,,,,,
ataf_status,,Events Update: Ataf has died.,,,,,,
illdi_status,,Events Update: Illdi has died.,,,,,,
jorn_status,,Events Update: Jorn has died.,,,,,,
bendt_status,,Events Update: Bendt has died.,,,,,,
styrr_status,,Events Update: Styrr has died.,,,,,,
blue_palace,,custom,,,,,,
kill_the_vampire_quest,,,,,,,,
the_wolf_queen_awakened_quest,,,,,,,,
the_mind_of_madness_quest,,,,,,,,
haafingar_thane_quest,,Awareness Addendum: Aware that {player_name} (the player) has been named as a thane of Haafingar.,,,,,,
sybille_stentor_status,,Events Update: Sybille Stentor has died.,,,,,,
erikur_status,,Events Update: Erikur has died.,,,,,,
gisli_status,,Events Update: Erikur's sister Gisli has died.,,,,,,
melaran_status,,Events Update: Melaran has died.,,,,,,
bryling_status,,Events Update: Bryling has died.,,,,,,
irnskar_ironhand_status,,Events Update: Irnskar Ironhand has died.,,,,,,
una_status,,Events Update: Una has died.,,,,,,
erdi_status,,Events Update: Erdi has died.,,,,,,
odar_status,,Events Update: Odar has died.,,,,,,
east_empire_company,,custom,,,,,,
red_wave,,custom,,,,,,
safia_status,,Events Update: Safia has been killed.,,,,,,
xander_status,,Events Update: Xander has died.,,,,,,
eris_status,,Events Update: Eris has died.,,,,,,
dorian_status,,Events Update: Dorian has died.,,,,,,
thalmor,,custom,,,,,,
thalmor_embassy,,custom,,,,,,
thalmor_embassy_incident_full_awareness,,"Events Update: {player_name} (later discovered to be the Dragonborn) infiltrated the Thalmor embassy as a party guest, killed some Thalmor personnel, and stole/rifled through Emmissary Elenwen's documents.",,,,,,For those who (should) know you were the one to do it. Maybe just Elenwen.
thalmor_embassy_incident_partial_awareness,,"Events Update: During one of Emissary Elenwen's parties at the Thalmor Embassy, a party guest reportedly snuck out of the party area, killed some Thalmor personnel, and stole/rifled through documents.",,,,,,For those who shouldn't know you were the one to do it. Thalmor such as Ondolemar
elenwen_status,,Events Update: Firsy Emissary Elenwen has died.,,,,,,
rulindil_status,,Events Update: Third Emissary Rulindil has died.,,,,,,
malborn_status,,Events Update: Malborn has died.,,,,,,
brelas_status,,Events Update: Brelas has died.,,,,,,
,,,,,,,,
hjaalmarch,,custom,,,,,,
hjaalmarch_civil_war,,Local Events Update: The Stormcloaks now control Morthal (and the rest of Hjaalmarch). A woman named Sorli the Builder is now the jarl.,,,,,,
morthal,,custom,,,,,,
laid_to_rest_quest,,Local Events Update: Morthal resident Alva has been outed as a vampire (she is now likely dead). A master vampire and his underling vampires have been slain within their cavernous lair in the marshes. This was carried out primarily by {player_name}.,,,,,,
laelette_the_vampire_status,,Local Events Update: Laelette has died (she had previously been turned into a vampire).,,,,,,
hroggar_status,,Local Events Update: Hroggar has died.,,,,,,
alva_status,,Local Events Update: Alva has died.,,,,,,
movarth_piquine_status,,Local Events Update: Master vampire Movarth Miquine has died.,,,,,,
thonnir_status,,Local Events Update: Thonnir has died.,,,,,,
lami_status,,Local Events Update: Lami has died.,,,,,,
lami_quest,,Local Events Update: {player_name} has found and provided a copy of 'Song of the Alchemists' to Lami.,,,,,,
jorgen_status,,Local Events Update: Jorgen has died.,,,,,,
moorside_inn,,custom,,,,,,
jonna_status,,Local Events Update: Jonna has died.,,,,,,
lurbuk_status,,Local Events Update: Lurbuk has been murdered.,,,,,,
highmoon_hall,,custom,,,,,,
highmoon_hall_civil_war,,"Highmoon Hall Events Update: Jarl Idgrod Ravencrone, along with her husband/steward Aslfur, their children (Idgrod the Younger and Joric), and her personal housecarl Gorm, have been forced to flee in exile as a result of the Stormcloaks' takeover of Morthal. New jarl Sorli the Builder is served by her husband Pactur (court steward), and by Teeba-Ei as (personal housecarl).",,,,,,
hjaalmarch_thane_quest,,Awareness Addendum: Aware that {player_name} (the player) has been named as a Thane of Hjaalmarch.,,,,,,
gorm_status,,Events Update: Gorm has died.,,,,,,
for_the_good_of_morthal_quest,,,,,,,,
stonehills,,custom,,,,,,
sirgar_status,,Events Update: Sirgar has died.,,,,,,
gestur_rockbreaker_status,,Events Update: Gestur Rockbreaker has died.,,,,,,
jesper_status,,Events Update: Jesper has died.,,,,,,
windstad_manor,,custom,,,,,,
,,,,,,,,
the_pale,,custom,,,,,,
the_pale_civil_war,,Events Update: The Imperials now controls Dawnstar (and the rest of The Pale). Brina Merilis is now the jarl.,,,,,,
dawnstar,,custom,,,,,,
windpeak_inn,,custom,,,,,,
thoring_status,,Events Update: Thoring has died.,,,,,,
karita_status,,Events Update: Karita has died.,,,,,,
abelone_status,,Events Update: Abelone has died.,,,,,,
waking_nightmare_quest,,,,,,,,
iron-breaker_mine,,custom,,,,,,
beitild_status,,Events Update: Beitild has been murdered.,,,,,,
irgnir_status,,Events Update: Irgnir has died.,,,,,,
bodil_status,,Events Update: Bodil has died.,,,,,,
gjak_status,,Events Update: Gjak has died.,,,,,,
karl_status,,Events Update: Karl has died.,,,,,,
quicksilver_mine,,custom,,,,,,
leigelf_status,,Events Update: Leigelf has died.,,,,,,
fruki_status,,Events Update: Fruki has died.,,,,,,
borgny_status,,Events Update: Borgny has died.,,,,,,
edith_status,,Events Update: Edith has died.,,,,,,
lond_status,,Events Update: Lond has died.,,,,,,
rustleif_status,,Events Update: Rustleif has died.,,,,,,
seren_status,,Events Update: Seren has died.,,,,,,
seren_pregnancy_status,,,,,,,,
mortar_and_pestle,,custom,,,,,,
frida_quest,,,,,,,,
frida_status,,Events Update: Frida has died.,,,,,,
pieces_of_the_past_quest,,,,,,,,
silus_vesuius_status,,Events Update: Silus Vesuius seems to have disappeared.,,,,,,
salty_sea-dogs_quest,,,,,,,,
captain_wayfinder_status,,Events Update: Captain Wayfinder has died.,,,,,,
guthrum_status,,Events Update: Guthrum has died.,,,,,,
ravam_verethi_status,,Events Update: Ravam Verethi has died.,,,,,,
blood_horkers,,custom,,,,,,
the_white_hall,,custom,,,,,,
the_white_hall_civil_war,,"The White Hall Events Update: Jarl Skald the Elder has been forced to flee in exile, taking with him his personal housecarl Jod and his personal servant Bulfrek. New jarl Brina Merilis is served by Horik Halfhand as her housecarl. Legate Constantius Tituleius now commands Imperial Legion forces from the longhouse. Madena remains the court wizard.",,,,,,
the_pale_thane_quest,,Awareness Addendum: Aware that {player_name} (the player) has been named as a Thane of The Pale.,,,,,,
a_scroll_for_anska_quest,,,,,,,,
vantus_loreius_status,,Events Update: Vantus Loreius has died.,,,,,,
curwe_status,,Events Update: Curwe has died.,,,,,,
heljarchen_hall,,custom,,,,,,
nightgate_inn,,custom,,,,,,
hadring_status,,Events Update: Hadring has died.,,,,,,
balagog_gro-nolob_status,,"Events Update: After having gone missing, Balagog's corpse was found - it seems that he was murdered.",getstagedone DB10 200 =1,,,,,
anga's_mill,,custom,,,,,,
aeri_status,,Events Update: Aeri has died.,,,,,,
kodrir_status,,Events Update: Kodrir has died.,,,,,,
leifur_status,,Events Update: Leifur has died.,,,,,,
,,,,,,,,
eastmarch,,custom,,,,,,
eastmarch_civil_war,,"Events Update: The Imperial Legion has successfully attacked Windhelm and taken control of the city. Following the death of Ulfric Stormcloak, Brunwulf Free-Winter has been appointed as the new jarl of Windhelm/Eastmarch.",,,,,,
windhelm,,custom,,,,,,
blood_on_the_ice_quest,,"Events Update: The infamous Windhelm serial killer of young women known as The Butcher has finally been caught and killed. Surprisingly to some, retired adventurer Calixto Corrium was the man behind these macabre murders.",,,,,,
candlehearth_hall,,custom,,,,,,
elda_early-dawn_status,,Events Update: Elda Early-Dawn has died.,,,,,,
nils_status,,Events Update: Nils has died.,,,,,,
susanna_the_wicked_status,,Events Update: Susanna the Wicked has been murdered.,,,,,,
luaffyn_status,,Events Update: Luaffyn has died.,,,,,,
adonato_leotelli_status,,Events Update: Adonato Leotelli has died.,,,,,,
viola_giordano_status,,Events Update: Viola Giordano has died.,,,,,,
captain_lonely-gale_status,,Events Update: Captain Lonely-Gale has died.,,,,,,
oengul_war-anvil_status,,Events Update: Oengul War-Anvil has died.,,,,,,
hermir_strong-heart_status,,Events Update: Hermir Strong-Heart has died.,,,,,,
the_white_phial_quest,,,,,,,,
repairing_the_phial_quest,,,,,,,,
nurelion_status,,Events Update: Nurelion has died.,,,,,,
quintus_navale_status,,Events Update: Quintus Navale has died.,,,,,,
helgird_status,,Events Update: Helgird has died.,,,,,,
nilsine_shatter-shield_status,,Events Update: Nilsine Shatter-Shield has been murdered.,,,,,,
tova_shatter-shield_status,,"Events Update: Overcome with grief from the death of her daughters, Tova Shatter-Shield has taken her own life.",,,,,,
torbjorn_shatter-shield_status,,Events Update: Torbjorn Shatter-Shield has died.,,,,,,
torsten_cruel-sea_status,,Events Update: Torsten Cruel-Sea has died.,,,,,,
hillevi_cruel-sea_status,,Events Update: Hillevi Cruel-Sea has died.,,,,,,
idesa_sadri_status,,Events Update: Idesa Sadri has died.,,,,,,
tulvur_status,,Events Update: Tuvlur has died.,,,,,,
tiber_status,,Events Update: Tiber (dog) has died.,,,,,,
ysgramor_dog_status,,Events Update: Ysgramor (dog) has died.,,,,,,
temple_of_talos,,custom,,,,,,
lortheim_status,,Events Update: Lortheim has died.,,,,,,
jora_status,,Events Update: Jora has died.,,,,,,
palace_of_the_kings,,custom,,,,,,
eastmarch_thane_quest,,Awareness Addendum: Aware that {player_name} (the player) has been named as a Thane of Eastmarch.,,,,,,
belyn_hlaalu_status,,Events Update: Belyn Hlaalu has died.,,,,,,
revyn_sadri_status,,Events Update: Revyn Sadri has died.,,,,,,
new_gnisis_cornerclub,,custom,,,,,,
ambarys_rendar_status,,Events Update: Ambarys Rendar has died.,,,,,,
malthyr_elenil_status,,Events Update: Malthyr Elenil has died.,,,,,,
aval_atheron_status,,Events Update: Aval Atheron has died.,,,,,,
faryl_atheron_status,,Events Update: Faryl Atheron has died.,,,,,,
suvaris_atheron_status,,Events Update: Suvaris Atheron has died.,,,,,,
orthus_endario_status,,Events Update: Orthus Endario has died.,,,,,,
rise_in_the_east_quest,,"Events Update: The Blood Horker pirates have largely ceased their harassment of East-Empire Company ships in the Sea of Ghosts, following the attack on their base (Japhet's Folly) that was led by {player_name} and Adelaisa Vendicci.",,,,,,
rise_in_the_east_quest_partial_awareness,,"Events Update: The Blood Horker pirates have largely ceased their harassment of East-Empire Company ships in the Sea of Ghosts. Apparently, their base at Japhet's Folly was razed by a Company force.",,,,,,
adelaisa_vendicci_status,,Events Update: Adelaissa Vendicci has died.,,,,,,
argonian_assemblage,,custom,,,,,,
neetrenaza_status,,Events Update: Neetrenaza has died.,,,,,,
scouts-many-marshes_status,,Events Update: Scouts-Many-Marshes has died.,,,,,,
shahvee_status,,Events Update: Shahvee has died.,,,,,,
stands-in-shallows_status,,Events Update: Stands-in-Shallows has died.,,,,,,
kjar_status,,Events Update: Kjar has died.,,,,,,
dalan_merchad_status,,Events Update: Dalan Merchad has died.,,,,,,
voldsea_giryon_status,,Events Update: Voldsea Giryon has died.,,,,,,
ulundil_status,,Events Update: Ulundil has died.,,,,,,
arivanya_status,,Events Update: Arivanya has been killed.,,,,,,
bolfrida_brandy-mug_status,,Events Update: Bolfrida Brandy-Mug has died.,,,,,,
adisla_status,,Events Update: Adisla has died.,,,,,,
kynesgrove,,custom,,,,,,
kynesgrove_a_blade_in_the_dark_quest,,"Events Update: A dragon has been seen flying over the Kynesgrove area, giving its inhabitants quite a scare.","getstagedone MQ106 10 = 1, getstagedone MQ106 200 = 0",Events Update: The dragon that had been flying nearby has not been seen since. A dragon skeleton was later found at/near the old dragon mound up toward the mountains to the east.,getstagedone MQ106 200 = 1,,,
steamscorch_mine,,custom,,,,,,
braidwood_inn,,custom,,,,,,
kjeld_status,,Events Update: Kjeld has died.,,,,,,
iddra_status,,Events Update: Iddra has died.,,,,,,
kjeld_the_younger_status,,Events Update: Kjeld the Younger has died.,,,,,,
roggi_knot-beard_status,,Events Update: Roggi Knot-Beard has died.,,,,,,
dravynea_the_stoneweaver_status,,Events Update: Dravynea the Stoneweaver has died.,,,,,,
dravynea's_frost_salts_quest,,,,,,,,
ganna_uriel_status,,Events Update: Ganna Uriel has died.,,,,,,
gemma_uriel_status,,Events Update: Gemma Uriel has died.,,,,,,
boethiah's_calling_quest,,,,,,,,
narzulbur,,custom,,,,,,
chief_mauhulakh_status,,Events Update: Chief Mauhulakh has died.,,,,,,
bolar_status,,Events Update: Bolar has died.,,,,,,
dushnamub_status,,Events Update: Dushnamub has died.,,,,,,
urog_status,,Events Update: Urog has died.,,,,,,
yatul_status,,Events Update: Yatul has died.,,,,,,
bor_status,,Events Update: Bor has died.,,,,,,
mogdurz_status,,Events Update: Mogdurz has died.,,,,,,
gadba_gro-largash_status,,Events Update: Gadba gro-Largash has died.,,,,,,
mul_gro-largash_status,,Events Update: Mul gro-Largash has died.,,,,,,
,,,,,,,,
mixwater_mill,,custom,,,,,,
eldergleam_sanctuary,,custom,,,,,,
darkwater_crossing,,custom,,,,,,
annekke_crag-jumper_quest,,,,,,,,
annekke_crag-jumper_status,,Events Update: Annekke Crag-Jumper has died.,,,,,,
verner_rock-chucker_status,,Events Update: Verner Rock-Chucker has died.,,,,,,
tormir_status,,Events Update: Tormir has died.,,,,,,
sondas_drenim_status,,Events Update: Sondas Drenim has died.,,,,,,
extracting_an_argonian_quest,,,,,,,,
derkeethus_status,,Events Update: Derkeerthus has died.,,,,,,
,,,,,,,,
winterhold_hold,,custom,,,,,,
winterhold_hold_civil_war,,Winterhold Hold Events Update: The Empire now controls Winterhold.,,,,,,
winterhold,,custom,,,,,,
college_of_winterhold,,custom,,,,,,
first_lessons_quest,,,,,,,,
under_saarthal_quest,,"Events Update: During a Saarthal expedition, {player_name} and Tolfdir found a large magical orb within a hidden chamber.",,,,,,
hitting_the_books_quest,,Events Update: A large magical orb from Saarthal has been brought to the Hall of the Elements at the College.,,,,,,
revealing_the_unseen_quest,,"Events Update: Arch-Mage Savos Aren has been killed while trying to stop Ancano (a Thalmor ""advisor"") from harnessing the power of the Eye of Magnus (the strange large orb being stored in the Hall of the Elements). The crisis is still ongoing, with magical anomalies flying around the town (Winterhold) and wreaking havoc.",,,,,,
the_eye_of_magnus_quest,,"Events Update: Arch-Mage Savos Aren and Master Wizard Mirabelle Ervine have now both died in the chaotic struggle that ensured after Ancano began unleashing the power of the Eye of Magnus. However, thanks to {player_name} and the retrieved Staff of Magnus, Ancano has been defeated, and the crisis ended. Per the recommendation of members of the Psijic Order (who then whisked the Eye away for safeguarding), {player_name} is now the new Arch-Mage of the College. Tolfdir now occupies the second-in-command role of Master Wizard, handling the college's day-to-day affairs.",,,,,,
the_eye_of_magnus_quest_partial_awareness,,Events Update: Arch-Mage Savos Aren has died. {player_name} is now the new Arch-Mage of the College of Winterhold.,,,,,,For Winterhold townspeople and others who should have limited awareness of CoW developments
brelyna_maryon_status,,Events Update: Brelyna Maryon has died.,,,,,,
j'zargo_status,,Events Update: J'zargo has died.,,,,,,
onmund_status,,Events Update: Onmund has died.,,,,,,
arniel's_endeavor_quest,,Events Update: College member Arniel Gane has vanished from this plane of existence after a Dwemer technology-related experiment.,,,,,,
sergius_turrianus_status,,Events Update: College member Sergius Turrianus has died.,,,,,,
nirya_status,,Events Update: College member Nirya has died.,,,,,,
tolfdir_status,,Events Update: Tolfdir has died.,,,,,,
alteration_ritual__spell_quest,,Events Update: {player_name} has provided Tolfdir with a dragon heartscale (harvested from a dragon via Kahvozein's Fang); Tolfdir was subsequently able to develop the Dragonhide spell.,,,,,,
conjuration_ritual__spell_quest,,,,,,,,
destruction_ritual_spell_quest,,"Events Update: As {player_name} sought to learn even more advanced forms of Destruction magic, Faralda provided them with Power of the Elements; {player_name} appears to have eventually used this text as a means to learn/access master level Destruction spell tomes, such as Fire Storm, Blizzard, Lightning Storm).",,,,,,
illusion_ritual_spell_quest,,,,,,,,
restoration_ritual_spell_quest,,,,,,,,
frozen_hearth,,custom,,,,,,
dagur_status,,Events Update: Dagur has died.,,,,,,
haran_status,,Events Update: Haran has died.,,,,,,
new_allegiances_quest_haran,,"Events Update: Haran has been turned into a vampire by {player_name}, to whom she is now loyal/enthralled.",,,,,,
nelacar_status,,Events Update: Nelacar has died.,,,,,,
drowned_sorrows_quest,,,,,,,,
ranmir_status,,Events Update: Ranmir has died.,,,,,,
birna_status,,Events Update: Birna has died.,,,,,,
winterhold_longhouse,,custom,,,,,,
winterhold_longhouse_civil_war,,"Winterhold Longhouse Events Update: Jarl Korir and his family have been forced to flee in exile. Kraldar is now the jarl of Winterhold, with Thonjolf serving as his housecarl, and Legate Sevan Telendas commanding Imperial Legion forces from the longhouse. Malur Seloth remains the court steward.",,,,,,
winterhold_thane_quest,,Awareness Addendum: Aware that {player_name} (the player) has been named as a Thane of Winterhold.,,,,,,
whistling_mine,,custom,,,,,,
angvid_status,,Events Update: Angvid has died.,,,,,,
badnir_status,,Events Update: Badnir has died.,,,,,,
gunding_status,,Events Update: Gunding has died.,,,,,,
thorgar_status,,Events Update: Thorgar has died.,,,,,,
aranea_ienith_status,,Events Update: Aranea Ienith has died.,,,,,,
the_black_star_quest,,,,,,,,
discerning_the_transmundane_quest,,,,,,,,
,,,,,,,,
the_rift,,custom,,,,,,
the_rift_civil_war,,Events Update: The Empire now controls Riften (and the rest of The Riften). Maven Black-Briar is now the jarl.,,,,,,
riften,,custom,,,,,,
riften_stables,,custom,,,,,,
hofgrir_horse-crusher_status,,Events Update: Hofgrir Horse-Crusher has been killed.,,,,,,
shadr_status,,Events Update: Shadr has died.,,,,,,
stabilized_quest,,,,,,,,
bee_and_barb,,custom,,,,,,
keerava_status,,Events Update: Keerava has died.,,,,,,
taking_care_of_business_quest_keerava,,"Events Update: Keerava has been forced to pay the Thieves Guild their demanded protection money, with {player_name} acting as the guild's representative/enforcer.",,,,,,
talen-jei_status,,Events Update: Talen-Jei has died.,,,,,,
grimsever's_return_quest,,Events Update: {player_name} returned Grimsever to Mjoll after having retrieved it from the depths of Mzinchaleft.,,,,,,
mjoll_the_lioness_status,,Events Update: Mjoll the Lioness has died.,,,,,,
mjoll_the_lioness_marriage_status,,Events Update: Mjoll the Lioness has gotten married to {player_name}.,,,,,,
aerin_status,,Events Update: Aerin has died.,,,,,,
haelga's_bunkhouse,,custom,,,,,,
haelga_status,,Events Update: Haelga has died.,,,,,,
taking_care_of_business_quest_haelga,,"Events Update: Haelga has been forced to pay the Thieves Guild their demanded protection money, with {player_name} acting as the guild's representative/enforcer.",,,,,,
svana_far-shield_status,,Events Update: Svana Far-Shield has died.,,,,,,
caught_red_handed_quest,,,,,,,,
marise_aravel_status,,Events Update: Marise Aravel has died.,,,,,,
brand-shei_status,,Events Update: Brand-Shei has died.,,,,,,
a_chance_arrangement_quest_brand-shei,,Events Update: Brand-Shei was arrested and imprisoned in the Riften jail for approximately a week after being framed for stealing a ring from Madesi.,,,,,,
distant_memories_quest,,"Events Update: {player_name} has returned from investigating the wreck of the Pride of Tel Vos, providing Brand-Shei with a journal entry indicating that his birth name is Brandyl Telvanni. The entry was written by Brand-Shei's/Brandyl's father - Lymdrenn Telvanni. Brand-Shei's/Brandyl's mother (Lymdrenn's wife) was apparently deceased at the time of the entry's writing. The entry was prefaced by Hidrya Olen, who described herself as a Telvanni servant and Brandy's former wet nurse, and stated that the entry constituted Lymdrenn's last words.",,,,,,
grelka_status,,Events Update: Grelka has died.,,,,,,
madesi_status,,Events Update: Madesi has died.,,,,,,
riften_beggar's_row,,custom,,,,,,
snilf_status,,Events Update: Snilf has died.,,,,,,
edda_status,,Events Update: Edda has died.,,,,,,
elgrim's_elixirs,,custom,,,,,,
truth_ore_consequences_quest,,,,,,,,
elgrim_status,,Events Update: Elgrim has died.,,,,,,
hafjorg_status,,Events Update: Hafjorg has died.,,,,,,
pawned_prawn,,custom,,,,,,
bersi_honey-hand_status,,Events Update: Bersi Honey-Hand has died.,,,,,,
taking_care_of_business_quest_bersi_honey-hand,,"Events Update: Bersi has been forced to pay the Thieves Guild their demanded protection money, with {player_name} acting as the guild's representative/enforcer.",,,,,,
drifa_status,,Events Update: Drifa has died.,,,,,,
riften_fishery,,custom,,,,,,
bolli_status,,Events Update: Bolli has been killed.,,,,,,
nivenor_status,,Events Update: Nivenor has died.,,,,,,
tythis_uIen_status,,Events Update: Tythis Ulen has died.,,,,,,
wujeeta_status,,Events Update: Wujeeta has died.,,,,,,
valindor_status,,Events Update: Valindor has died.,,,,,,
black-briar_meadery,,custom,,,,,,
